first_name,last_name,gender,prev_donor,occupation,ages,salary,donated
Wendi,Stuckow,0,0,Dentist,60,158310,1
Wynny,Addyman,0,0,Data Scientist,85,113436,1
Clarette,Penticoot,0,1,Pilot,73,102250,1
Anatola,Smardon,0,0,Chef,84,41500,0
Ashlin,MacDonell,1,0,Finance Manager,52,125080,1
Vanny,Nelligan,0,0,Accountant,56,67190,0
Fallon,Molson,0,0,Professor,21,72470,0
Cristal,Klug,0,0,Professor,82,72470,1
Emmalee,Hanhard,0,0,Writer,67,60250,1
Rennie,Mc Coughan,0,0,Civil Engineer,70,82220,1
Tasha,De Castri,0,1,Soldier,51,33624,0
Zollie,Inseal,1,0,Dentist,44,158310,1
Verne,Mallalieu,1,0,Finance Manager,53,125080,0
Amby,Rebillard,1,1,Geologist,49,89700,1
Leoline,Westhoff,0,1,Doctor,78,187200,1
Davida,Hoxey,0,1,Occupational Therapist,73,80150,0
Marj,Jeste,0,1,Police Officer,22,60270,0
Jeralee,Jodlkowski,0,0,Security Guard,27,24680,0
Pammy,Gounet,0,1,Bartender,28,19530,0
Willetta,Townshend,0,0,Software Developer,58,79530,0
Bayard,Fieldsend,1,0,Music Artist,37,32193,0
Jobey,Hastin,0,1,Economist,81,99180,1
Harmonia,Whistance,0,1,Civil Engineer,68,82220,1
Sasha,Castagnaro,0,1,Surgeon,34,187500,0
Stern,Newland,1,0,Farmer,51,64170,0
Orran,Reddan,1,1,Professor,49,72470,0
Heath,Lambert,1,0,Civil Engineer,47,82220,1
Adria,Quogan,0,0,Chemical Engineer,27,97360,0
Sheelagh,Fullstone,0,0,Actor,45,52000,1
Joly,D'eath,0,1,Music Artist,67,32193,1
Jerome,Huggens,1,0,Pharmacist,37,115000,1
Gloria,Waywell,0,1,Pilot,55,102250,1
Eveleen,Lardez,0,0,Teacher,30,58950,0
Carlene,Blenkensop,0,0,Chef,82,41500,1
Towney,Beste,1,0,Farmer,77,64170,1
Claus,Spears,1,1,Economist,73,99180,1
Archibald,Romanelli,1,0,Recruiter,49,61910,0
Catherine,Pasby,0,0,Risk Manager,46,125688,1
Fanchette,Newart,0,1,Bartender,83,19530,0
Kelila,Warrack,0,0,Driver,48,41260,1
Jasen,Heisler,1,0,Occupational Therapist,40,80150,1
Candice,Vant,0,0,Lawyer,21,115820,0
Carlie,Crews,1,0,Soldier,60,33624,0
Shannon,Annies,0,0,Orthodontist,53,208000,0
Claudianus,Westraw,1,0,Actor,76,52000,0
Mortie,Merrall,1,1,Farmer,73,64170,0
Jakie,Caulton,1,1,Soldier,56,33624,0
Adena,Bilverstone,0,0,Paramedic,50,31980,1
Vallie,Martinolli,0,0,Paramedic,74,31980,0
Averell,Stoodley,1,1,Chemical Engineer,26,97360,0
Cordy,Mathewes,0,1,Geologist,22,89700,0
Elsie,Brettle,0,0,Nurse,70,67490,1
Enrico,Preskett,1,1,Nurse,63,67490,1
Bram,Djurisic,1,0,Teacher,43,58950,1
Amara,MacAirt,0,0,Soldier,32,33624,1
Guenna,Burgiss,0,0,Lawyer,42,115820,1
Kylen,Pidgeley,0,0,Doctor,41,187200,1
Hana,Prine,0,0,Secretary,77,36500,0
Victoir,Besemer,1,0,Software Developer,25,79530,0
Anjanette,Westbrook,0,0,Psychologist,48,72580,1
Brose,Prandoni,1,0,Secretary,45,36500,0
Matias,McGhie,1,1,Social Worker,52,45900,1
Thatch,Brum,1,0,Product Manager,50,120152,1
Derrik,Trippitt,1,0,Marketing Manager,80,124850,0
Thaddeus,Berfoot,1,1,Bartender,35,19530,1
Kareem,Dunnan,1,1,Lawyer,41,115820,1
Agustin,Bricham,1,0,Social Worker,69,45900,0
Joachim,Shoreman,1,1,Pharmacist,23,115000,0
Chelsy,Linner,0,0,Writer,25,60250,0
Eleonore,Skeggs,0,0,Orthodontist,78,208000,0
Cleon,Postlewhite,1,1,Politician,25,174000,0
Dannye,Ridger,0,0,Chemical Engineer,73,97360,0
Gipsy,McCrory,0,1,Farmer,67,64170,1
Salem,Coaten,1,1,Secretary,80,36500,1
Tobe,Ledbetter,1,0,Music Artist,80,32193,1
Brenda,Mozzetti,0,1,Physical Therapist,29,84020,0
Brnaby,Cheverton,1,1,Tax Manager,43,120397,1
Ilyse,Fishleigh,0,0,Physical Therapist,79,84020,0
Francine,Veall,0,0,Pilot,59,102250,1
Lief,Healings,1,0,Professor,24,72470,0
Minny,Fifoot,0,1,Surgeon,22,187500,0
Dre,Cauderlie,0,1,Geologist,36,89700,1
Dolph,Heinonen,1,1,Security Guard,71,24680,1
Violette,Cardoo,0,0,Risk Manager,79,125688,1
Murray,Schiell,1,0,Politician,41,174000,0
Clerissa,Giacomini,0,1,Police Officer,80,60270,1
Doralia,Credland,0,0,Occupational Therapist,57,80150,1
Chaddy,Hunstone,1,0,Data Scientist,58,113436,1
Audry,Jedrych,0,1,Tax Manager,29,120397,0
Bobby,Rimmington,1,0,Physican,72,187200,0
Vanny,Ferney,0,0,Mechanical Engineer,52,83590,1
Anitra,Rosenstengel,0,0,Writer,36,60250,0
Wallache,Mellsop,1,0,Orthodontist,38,208000,1
Nata,Veighey,0,0,Geologist,62,89700,1
Sterne,Sawyer,1,1,Sales Manager,84,113860,0
Gert,Pillman,0,0,Software Developer,42,79530,0
Barney,Herche,1,0,Professor,48,72470,1
Lynn,Gummer,1,1,Paramedic,40,31980,0
Inge,Greger,0,1,Mechanical Engineer,45,83590,0
Chilton,Frankel,1,0,Flight Attendant,64,44860,0
Sonnie,Colbrun,0,0,Risk Manager,28,125688,0
Tasha,Caustic,0,0,Cashier,46,19310,1
Lizzy,Jacob,0,0,Occupational Therapist,40,80150,1
Mallorie,Antrobus,0,1,Sales Manager,56,113860,1
Archibold,Heinsen,1,1,Web Developer,26,64970,0
Yank,Lowdham,1,0,Civil Engineer,71,82220,0
Antoinette,Heinzel,0,0,Surgeon,70,187500,1
Shanna,Hayesman,0,1,Recruiter,63,61910,0
Ly,Motion,1,1,Sales Manager,25,113860,0
Pincas,Manson,1,0,Driver,63,41260,0
Bernardine,Whalley,0,0,Driver,66,41260,1
Suzann,Lovemore,0,1,Tax Manager,81,120397,1
Farly,Gothup,1,1,Chef,78,41500,1
Johann,Lorenc,1,0,Civil Engineer,42,82220,1
Araldo,Badham,1,0,Music Artist,74,32193,1
Daphna,Hynard,0,1,Geologist,67,89700,1
Earvin,Furmenger,1,0,Electrical Engineer,33,95230,0
Lorilee,Fawlo,0,0,Web Developer,73,64970,0
Eben,Trevithick,1,0,Paramedic,22,31980,0
Desmund,Blucher,1,0,Cashier,66,19310,1
Coretta,Robeson,0,0,Recruiter,48,61910,1
Dorothy,Latty,0,0,Police Officer,79,60270,1
Brady,Lewerenz,1,1,Lawyer,38,115820,0
Mendy,Capstack,1,0,Music Artist,37,32193,1
Shanta,Beswetherick,0,1,Civil Engineer,66,82220,1
Roxana,Birchenhead,0,0,Teacher,26,58950,0
Darrick,Stallworthy,1,0,Teacher,33,58950,0
Horatio,Duignan,1,0,Writer,50,60250,1
Jeralee,Sparrowe,0,1,Mechanical Engineer,81,83590,0
Tann,Gauson,1,1,Marketing Manager,84,124850,1
Erin,Laneham,1,1,Doctor,28,187200,0
Benton,Caldeyroux,1,1,Civil Engineer,69,82220,1
Angelico,Harrigan,1,0,Pharmacist,28,115000,0
Jessi,Lanchbury,0,1,Paramedic,40,31980,1
Yulma,Meah,1,1,Tax Manager,31,120397,0
Brnaby,MacElharge,1,0,Physican Assistant,53,98180,0
Zarla,Shanley,0,0,Tax Manager,34,120397,1
Mario,Abdee,1,0,Civil Engineer,65,82220,1
Collete,Bodd,0,1,Electrical Engineer,55,95230,1
Regan,Bartoszewicz,1,1,Risk Manager,70,125688,1
Chucho,Cristofolini,1,0,Cashier,61,19310,1
Whitney,Millhill,1,0,Surgeon,23,187500,0
Shawn,Goade,0,0,Chemical Engineer,45,97360,1
Billy,Robroe,0,0,Dentist,25,158310,0
Carly,Frid,0,1,Driver,74,41260,1
Julio,Paxeford,1,1,Pharmacist,22,115000,0
Wallis,Whereat,1,1,Accountant,84,67190,1
Carma,Jorger,0,0,Physican,41,187200,0
Megen,Sheron,0,0,Nurse,48,67490,1
Tiffanie,Juanes,0,1,Chef,58,41500,0
Park,Yockney,1,0,Music Artist,71,32193,1
Merna,Gaylard,0,0,Physican Assistant,68,98180,1
Gerrilee,Blumfield,0,0,Music Artist,48,32193,1
Kylen,O'Doogan,0,0,Chemical Engineer,82,97360,1
Darryl,Phin,1,1,Nurse,79,67490,1
Brandtr,Erley,1,0,Police Officer,53,60270,1
Minetta,Gallamore,0,1,Civil Engineer,75,82220,1
Nickolaus,Cock,1,0,Electrical Engineer,78,95230,0
Devora,Poetz,0,1,Actor,48,52000,1
Olenolin,Capaldi,1,0,Nurse,39,67490,0
Hammad,Kleis,1,1,Electrical Engineer,28,95230,0
Freda,Berzon,0,1,Secretary,72,36500,1
Vonny,Perrington,0,0,Electrical Engineer,77,95230,0
Alessandro,Burk,1,0,Finance Manager,75,125080,1
Victoir,Greaterex,1,0,Sales Manager,74,113860,1
Lamar,Aylesbury,1,1,Pilot,51,102250,1
Heddi,Ricciardelli,0,0,Chef,70,41500,1
Milli,Wesley,0,0,Driver,44,41260,1
Sharity,Godbolt,0,1,Nurse,35,67490,1
Xenos,Camblin,1,0,Physican Assistant,29,98180,0
Rich,Scantleberry,1,0,Pharmacist,69,115000,1
Bendick,Yexley,1,0,Secretary,65,36500,1
Brandais,Letch,0,1,Geologist,53,89700,1
Deonne,Dybell,0,1,Driver,38,41260,0
Lacy,Elmes,0,1,Pharmacist,22,115000,0
Neysa,Chritchlow,0,0,Geologist,66,89700,1
Kale,Leggott,1,0,Security Guard,68,24680,1
Kenn,Dickens,1,0,Paramedic,57,31980,1
Trenton,Keford,1,1,Web Developer,27,64970,0
Kimberley,Proud,0,1,Cashier,42,19310,1
Enrica,Jochens,0,1,Recruiter,31,61910,1
Vaclav,Wawer,1,0,Chef,29,41500,0
Delilah,Dacre,0,1,Chemical Engineer,82,97360,1
Fidel,Brazenor,1,1,Geologist,64,89700,1
Tiff,Wyllcock,0,0,Data Scientist,54,113436,1
Ortensia,Bidder,0,1,Accountant,27,67190,0
Morey,Dibden,1,1,Psychologist,71,72580,1
Corby,Ramsted,1,1,Dentist,66,158310,1
Rosalinde,Johann,0,1,Surgeon,58,187500,1
Leonid,Sich,1,0,Occupational Therapist,23,80150,0
Mame,Nelissen,0,1,Chef,39,41500,1
Helaina,Mee,0,0,Orthodontist,57,208000,1
Riccardo,Bubbear,1,1,Soldier,76,33624,1
Nady,Sant,0,1,Electrical Engineer,68,95230,1
Nevins,Burstow,1,0,Bartender,26,19530,0
Sigmund,Presslee,1,0,Cashier,59,19310,1
Lezlie,Soldan,0,0,Social Worker,54,45900,1
Penny,Ewbanche,0,1,Lawyer,29,115820,0
Carson,Marritt,1,0,Dentist,31,158310,1
Manda,Overill,0,0,Occupational Therapist,49,80150,1
Celle,Crosoer,0,1,Cashier,53,19310,1
Joe,Roakes,1,1,Web Developer,46,64970,1
Lauraine,Calway,0,1,Actor,56,52000,1
Jacqueline,Yeardley,0,1,Politician,33,174000,1
Kassi,Emer,0,1,Paramedic,48,31980,1
Worthington,Ahrend,1,1,Risk Manager,71,125688,1
Kary,Trevillion,0,1,Secretary,51,36500,1
Othella,Browncey,0,1,Flight Attendant,32,44860,1
Lars,Hernik,1,1,Cashier,39,19310,1
Fay,Bruton,0,1,Finance Manager,65,125080,1
Susanna,Van Dale,0,0,Social Worker,61,45900,1
Bibbie,Bickell,0,1,Accountant,49,67190,1
Etti,Markel,0,1,Music Artist,40,32193,1
Barrie,McGrann,1,0,Nurse,68,67490,1
Dilly,Aickin,1,1,Civil Engineer,57,82220,0
Monica,Feitosa,0,0,Pilot,75,102250,1
Tymothy,Cheltnam,1,1,Surgeon,67,187500,1
Owen,Haig,1,0,Security Guard,49,24680,1
Ceciley,Angel,0,0,Doctor,28,187200,0
Rasia,Couser,0,0,Secretary,46,36500,1
Jamey,Marsie,1,0,Farmer,23,64170,0
Corly,Browett,0,1,Psychologist,30,72580,0
Sela,Saunton,0,1,Software Developer,44,79530,0
Tallie,Guswell,0,0,Data Scientist,80,113436,1
Richy,Carden,1,1,Physican Assistant,85,98180,1
Timothee,Fulcher,1,0,Accountant,78,67190,1
Fayth,Taffurelli,0,0,Pilot,32,102250,1
Helene,Sydall,0,0,Writer,56,60250,1
Anni,Gabites,0,0,Security Guard,28,24680,0
Victoria,Mille,0,0,Marketing Manager,25,124850,0
Isidora,Puleston,0,0,Nurse,56,67490,1
Kingsly,Kesteven,1,0,Driver,73,41260,1
Rubetta,Goodswen,0,1,Orthodontist,63,208000,1
Hoebart,Toffts,1,0,Flight Attendant,65,44860,0
Alasdair,Nadin,1,0,Psychologist,81,72580,1
Rakel,Sissot,0,1,Finance Manager,75,125080,1
Blair,Elderidge,1,0,Security Guard,42,24680,1
Pall,Pietzke,1,1,Farmer,40,64170,1
Reine,Brocklehurst,0,0,Driver,54,41260,1
Isabeau,Darmody,0,1,Accountant,80,67190,0
Mathe,Tyrer,1,1,Dentist,46,158310,1
Randell,Rusbridge,1,1,Product Manager,77,120152,1
Farley,Lyddiard,1,1,Teacher,38,58950,1
Blythe,Sandle,0,0,Teacher,27,58950,0
Arlinda,Haithwaite,0,1,Physican Assistant,61,98180,1
Hayley,Tythe,0,0,Flight Attendant,31,44860,1
Welbie,Galsworthy,1,0,Occupational Therapist,46,80150,1
Derek,Feake,1,1,Product Manager,70,120152,1
Saunder,Hearn,1,0,Social Worker,77,45900,1
Tibold,Collington,1,1,Writer,78,60250,1
Regan,Raithmill,1,1,Sales Manager,69,113860,1
Law,Hucks,1,1,Cashier,21,19310,0
Matthias,Organ,1,0,Lawyer,68,115820,1
Bartholemy,Diament,1,1,Paramedic,53,31980,0
Matthaeus,Burrow,1,1,Flight Attendant,60,44860,1
Carmella,Matevosian,0,0,Accountant,57,67190,1
Lynnea,Michin,0,0,Geologist,83,89700,1
Valerye,Ledley,0,1,Chemical Engineer,69,97360,0
Audrey,Winters,0,1,Teacher,33,58950,1
Richard,Gossop,1,0,Sales Manager,39,113860,0
Tana,Mowen,0,1,Social Worker,45,45900,1
Vernon,McTurk,1,1,Accountant,50,67190,1
Chad,Yeskin,1,0,Secretary,63,36500,0
Garfield,Fluck,1,1,Web Developer,29,64970,0
Hazel,Campion,1,0,Writer,35,60250,1
Blanch,Meers,0,1,Cashier,71,19310,1
Tanner,Custard,1,0,Doctor,41,187200,1
Josepha,Thursfield,0,1,Flight Attendant,36,44860,1
Gothart,Villaron,1,1,Lawyer,49,115820,1
Biddie,Okenden,0,0,Lawyer,46,115820,1
Catlin,Harfoot,0,0,Surgeon,31,187500,0
Leia,Linstead,0,0,Soldier,58,33624,0
Ninon,St Louis,0,0,Surgeon,70,187500,1
Xena,Yatman,0,1,Surgeon,39,187500,1
Linea,Litt,0,1,Mechanical Engineer,33,83590,1
Roth,Paulo,1,1,Product Manager,74,120152,1
Jedd,Sego,1,1,Soldier,34,33624,1
Baldwin,Sales,1,1,Marketing Manager,57,124850,0
Hasty,Alabastar,1,1,Lawyer,24,115820,0
Lidia,Raymond,0,1,Secretary,47,36500,1
Arie,Hasty,1,0,Politician,26,174000,0
Rafe,Mattschas,1,1,Pilot,35,102250,0
Nollie,Larter,1,1,Chef,33,41500,0
Wrennie,Chipchase,0,1,Sales Manager,64,113860,1
Alexis,Greenway,0,0,Teacher,46,58950,1
Antoinette,Cumbes,0,0,Security Guard,22,24680,0
Issiah,Dudney,1,0,Secretary,47,36500,0
Valenka,Dominicacci,0,0,Civil Engineer,49,82220,1
Kienan,Hirtz,1,1,Psychologist,54,72580,1
Brandais,Molan,0,0,Physican,22,187200,0
Corabelle,Saville,0,0,Civil Engineer,72,82220,1
Stormy,Whitehorne,0,1,Secretary,52,36500,0
Carmine,Tunna,1,0,Police Officer,75,60270,1
Kassi,Presslee,0,1,Product Manager,84,120152,1
Bjorn,Bolduc,1,0,Chemical Engineer,26,97360,0
Romona,Cridlon,0,1,Risk Manager,58,125688,0
Meg,Housby,0,0,Software Developer,22,79530,0
Norry,Woodlands,0,0,Doctor,40,187200,1
Ebonee,Whetland,0,0,Pilot,22,102250,0
Layney,Grey,0,0,Mechanical Engineer,53,83590,1
Rozamond,Willox,0,0,Finance Manager,63,125080,0
Gillan,Leethem,0,1,Paramedic,25,31980,0
Tildie,Clempton,0,0,Police Officer,34,60270,1
Patty,Meriel,0,0,Electrical Engineer,45,95230,1
Sheffy,Gabbetis,1,0,Software Developer,49,79530,0
Zea,Leheude,0,0,Recruiter,73,61910,1
Milli,Brittoner,0,0,Physican,48,187200,1
Curcio,Dunseath,1,1,Lawyer,34,115820,1
Tulley,Struan,1,0,Paramedic,38,31980,1
Aharon,Clempton,1,0,Nurse,64,67490,1
Germain,Isabell,1,1,Soldier,84,33624,1
Griselda,Davenall,0,0,Writer,79,60250,1
Christyna,Vermer,0,0,Product Manager,64,120152,0
Hort,Gilardengo,1,1,Farmer,23,64170,0
Glynis,Broadfield,0,1,Finance Manager,67,125080,1
Amalee,Hallibone,0,1,Secretary,25,36500,0
Crysta,Picardo,0,1,Farmer,33,64170,1
Leyla,Inglesent,0,1,Cashier,59,19310,1
Klarika,Battman,0,0,Pilot,56,102250,1
Venita,Wedge,0,0,Writer,71,60250,1
Rhodia,Self,0,1,Flight Attendant,69,44860,1
Ruddie,Likly,1,1,Sales Manager,77,113860,0
Morena,Thow,0,1,Accountant,78,67190,1
Penrod,Deegin,1,1,Dentist,65,158310,1
Lucas,Alekhov,1,0,Lawyer,31,115820,1
Dillie,Hollerin,1,0,Cashier,52,19310,1
Berta,Greeno,0,1,Bartender,43,19530,1
Christalle,Grodden,0,1,Geologist,64,89700,1
Frayda,Poschel,0,1,Police Officer,80,60270,1
Leonerd,Compfort,1,0,Chemical Engineer,25,97360,0
Dennet,Marns,1,0,Soldier,36,33624,1
Bordy,Ravenshaw,1,1,Pilot,21,102250,0
Jules,Drinkall,1,1,Physican Assistant,70,98180,0
Brianne,Madelin,0,0,Physican Assistant,75,98180,1
Amalia,Daley,0,0,Orthodontist,59,208000,1
Dotti,Allcorn,0,0,Electrical Engineer,24,95230,0
Eldon,Jouannisson,1,0,Writer,77,60250,1
Burnard,Hosten,1,0,Bartender,61,19530,1
Freddie,Wasling,1,1,Nurse,74,67490,1
Malina,Macken,0,1,Music Artist,76,32193,1
Julienne,Le Prevost,0,0,Economist,51,99180,1
Berti,Khomich,1,0,Chemical Engineer,30,97360,0
Myca,Mouget,1,0,Politician,32,174000,0
Sonya,Udell,0,1,Nurse,42,67490,0
York,Kusick,1,0,Police Officer,23,60270,0
Dirk,O'Shiels,1,0,Risk Manager,24,125688,0
Arvy,Springall,1,0,Marketing Manager,23,124850,0
Jazmin,Attenborrow,0,0,Nurse,25,67490,0
Pammy,Fownes,0,1,Cashier,48,19310,1
Gigi,Marlor,0,0,Doctor,25,187200,0
Ola,Schwandermann,0,1,Orthodontist,32,208000,1
Vern,Kelbie,1,0,Chef,68,41500,1
Derek,Lille,1,1,Writer,37,60250,0
Cesya,Le Teve,0,0,Surgeon,83,187500,1
Jemmy,Balaam,0,0,Sales Manager,75,113860,0
Madelina,Struis,0,0,Surgeon,35,187500,1
Alphonse,Rainton,1,1,Cashier,82,19310,0
Jacquenetta,Vinnick,0,0,Music Artist,75,32193,1
Daren,Blaschke,1,0,Flight Attendant,69,44860,1
Vale,Yearnsley,1,0,Mechanical Engineer,36,83590,1
Ervin,De la Feld,1,0,Geologist,33,89700,0
Milissent,Hegg,0,0,Chef,62,41500,1
Lindsey,Jeanes,0,0,Sales Manager,72,113860,1
Antoni,Urian,1,1,Sales Manager,49,113860,1
Corene,Mowat,0,1,Surgeon,21,187500,0
Pearline,Eastup,0,0,Teacher,35,58950,1
Brittney,Vlies,0,0,Nurse,31,67490,1
Leilah,Fagg,0,0,Data Scientist,29,113436,0
Callida,Pohl,0,1,Tax Manager,81,120397,1
Bernard,Phelan,1,0,Surgeon,84,187500,1
Constantine,Maginn,0,0,Bartender,44,19530,0
Wynn,Fawloe,0,0,Actor,49,52000,1
Mortie,Matveiko,1,1,Accountant,73,67190,1
Kahlil,Tunnacliffe,1,1,Sales Manager,79,113860,1
Ruthy,Hinkins,0,0,Risk Manager,42,125688,1
Elga,Menguy,0,0,Sales Manager,46,113860,1
Justis,Collerd,1,0,Occupational Therapist,39,80150,1
Kalila,Hendrikse,0,0,Sales Manager,59,113860,1
Hyacinthie,Tredger,0,1,Pilot,62,102250,0
Sashenka,Nudds,0,0,Pilot,56,102250,1
Dukie,McKennan,1,0,Driver,47,41260,1
Margaux,Pinney,0,0,Civil Engineer,49,82220,1
Alexandra,Giron,0,1,Tax Manager,61,120397,1
Quintina,Rawstorne,0,1,Data Scientist,64,113436,1
Ivonne,Warcop,0,0,Flight Attendant,50,44860,1
Marielle,Dicken,0,0,Writer,85,60250,1
Tucky,Bertelet,1,1,Dentist,42,158310,1
Jeanie,Humfrey,0,0,Pilot,73,102250,1
Hobard,Huckle,1,0,Flight Attendant,39,44860,0
Giuditta,Errowe,0,0,Surgeon,59,187500,1
Mercie,Chippin,0,0,Bartender,45,19530,1
Lorinda,Curnokk,0,0,Orthodontist,70,208000,0
Roxane,Worman,0,1,Occupational Therapist,80,80150,0
Ludvig,Hasson,1,1,Writer,79,60250,1
Casar,Faltin,1,1,Cashier,42,19310,1
Margarette,Bennet,0,0,Flight Attendant,71,44860,1
Leda,Pollicott,0,0,Accountant,64,67190,0
Tanner,Presswell,1,0,Marketing Manager,41,124850,1
Valene,Bernaert,0,0,Driver,33,41260,1
Theresina,Corby,0,0,Police Officer,65,60270,0
Merl,Chidley,0,1,Physican,37,187200,0
Doreen,Gaddes,0,1,Physican,26,187200,0
Skippie,Mottershaw,1,1,Recruiter,56,61910,1
Lyndsey,Brann,0,1,Flight Attendant,45,44860,1
Gayelord,Solan,1,0,Farmer,58,64170,0
Sidney,Yurocjkin,1,0,Physical Therapist,80,84020,1
Fifi,Loxly,0,1,Chemical Engineer,24,97360,0
Fancy,Doddridge,0,1,Security Guard,22,24680,0
Diena,Kording,0,0,Data Scientist,59,113436,0
Adah,Lescop,0,0,Security Guard,27,24680,0
Hadrian,Salvadore,1,1,Risk Manager,54,125688,0
Aretha,Grimsley,0,1,Occupational Therapist,75,80150,1
Hyacinthia,Joreau,0,0,Secretary,25,36500,0
Bearnard,Creak,1,1,Software Developer,22,79530,0
Dun,Archley,1,0,Mechanical Engineer,47,83590,1
Electra,Pinwill,0,0,Security Guard,23,24680,0
Kirby,Neary,0,1,Physical Therapist,64,84020,1
Tiffie,Belson,0,1,Farmer,43,64170,1
Arel,Dominy,1,1,Professor,41,72470,1
Stephanie,Arens,0,0,Actor,39,52000,1
Hube,Artinstall,1,1,Paramedic,39,31980,0
Taylor,Dressel,1,1,Cashier,21,19310,0
Minnaminnie,Jakobssen,0,0,Physican,68,187200,1
Timofei,Hyrons,1,1,Professor,41,72470,1
Joelynn,Masham,0,0,Chef,26,41500,0
Maje,Shankland,1,1,Driver,56,41260,1
Jeddy,Mohring,1,0,Accountant,32,67190,1
Reyna,Kay,0,0,Lawyer,74,115820,1
Haydon,Belderfield,1,0,Orthodontist,83,208000,0
Amerigo,Dixey,1,0,Teacher,79,58950,1
Edgardo,Arthy,1,0,Flight Attendant,32,44860,0
Reinwald,Coleford,1,0,Marketing Manager,35,124850,1
Lawton,Govan,1,0,Doctor,76,187200,1
Page,Nicholls,1,1,Occupational Therapist,47,80150,1
Beth,Blacket,0,1,Physical Therapist,26,84020,0
Devondra,Coggins,0,1,Soldier,33,33624,0
Gabriella,Petren,0,1,Flight Attendant,47,44860,1
Augusto,Tadlow,1,0,Physical Therapist,44,84020,1
Adena,Hazel,0,1,Sales Manager,32,113860,1
Carlo,Bakster,1,1,Paramedic,76,31980,0
Nobie,Risebrow,1,0,Web Developer,78,64970,1
Sunshine,Smallbone,0,0,Finance Manager,65,125080,0
Norrie,Kynastone,0,1,Economist,75,99180,1
Ruddy,Shirtcliffe,1,1,Soldier,77,33624,1
Maible,Semmens,0,1,Web Developer,69,64970,1
Welsh,Gaitone,1,0,Writer,45,60250,1
Leola,Mallebone,0,0,Police Officer,31,60270,0
Perrine,Ralton,0,1,Recruiter,66,61910,1
Thornie,Hillett,1,1,Occupational Therapist,35,80150,0
Stefania,Unsworth,0,0,Product Manager,46,120152,0
Sheri,Ishak,0,1,Music Artist,44,32193,0
Darrell,Broadbent,1,0,Software Developer,24,79530,0
Roi,Boatswain,1,0,Lawyer,57,115820,1
Aurie,Wrefford,0,0,Physican Assistant,85,98180,1
Verena,Gill,0,1,Occupational Therapist,25,80150,0
Torrey,Kaysor,1,1,Physican,43,187200,1
Rice,Noli,1,0,Sales Manager,44,113860,1
Mortie,Rooson,1,0,Bartender,35,19530,1
Kendra,Fury,0,0,Tax Manager,63,120397,0
Bianca,Simonds,0,1,Physican Assistant,68,98180,1
Dora,Ponsford,0,0,Social Worker,76,45900,1
Karim,Hubane,1,1,Music Artist,57,32193,1
Nikolaus,De Souza,1,1,Pharmacist,47,115000,1
Aguste,Whacket,1,0,Civil Engineer,42,82220,0
Vernice,Vaggers,0,1,Driver,55,41260,0
Gaston,Arnout,1,0,Civil Engineer,57,82220,0
Danica,Keen,0,0,Product Manager,69,120152,0
Cody,Theriot,1,0,Nurse,43,67490,1
Mark,Crummie,1,0,Economist,35,99180,1
Nicky,Schulter,1,1,Politician,57,174000,0
Krisha,Dubois,1,0,Finance Manager,42,125080,1
Duffie,Dunabie,1,1,Product Manager,66,120152,1
Eba,Bertl,0,0,Web Developer,54,64970,0
Sylvia,Punshon,0,0,Occupational Therapist,32,80150,1
Wesley,Hadlington,1,0,Recruiter,85,61910,0
Francklyn,Botte,1,1,Lawyer,78,115820,1
Raoul,Christofle,1,1,Psychologist,80,72580,1
Nicholas,Edsell,1,0,Physican Assistant,68,98180,1
Sarita,Boyes,0,0,Professor,64,72470,1
Lezley,Schulze,1,0,Sales Manager,74,113860,0
Kizzee,Beevors,0,1,Driver,27,41260,0
Julian,Willetts,1,1,Bartender,44,19530,0
Gerrard,Benda,1,1,Product Manager,24,120152,0
Jakie,Cuschieri,1,1,Pharmacist,49,115000,1
Alfy,Tavner,1,0,Electrical Engineer,66,95230,1
Adorne,Brandino,0,1,Mechanical Engineer,39,83590,1
Sonni,Gaffon,0,0,Doctor,77,187200,1
Eleanore,Fusco,0,0,Electrical Engineer,54,95230,1
